block,timestamp,time,aDAI_rate,aUSDC_rate,aWBTC_rate,aUSDT_rate,aTUSD_rate
11367585,1606837861,2020-12-01T15:51:01.000Z,1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000
11373345,1606915408,2020-12-02T13:23:28.000Z,1000006142333098836364859468,1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000
11379105,1606991114,2020-12-03T10:25:14.000Z,1000034225530462499981516210,1000011465917437133200112223,1000365362741499542840267094,1000003106560972464822084863,1000000770463449660042164432
11384865,1607067942,2020-12-04T07:45:42.000Z,1000161599893203266030723955,1000152592561180892907785438,1000374907223354226497869064,1000085606324075985402648210,1000060528378824952246903747
11390625,1607144624,2020-12-05T05:03:44.000Z,1000257721180715141497446297,1000286812578314076187462965,1000381828518113107652668845,1000227500089504024326931713,1000218202711952463161815818
11396385,1607221220,2020-12-06T02:20:20.000Z,1000465236891749821762097082,1000504709085921753174009551,1000402427819794136758029576,1000329974324525033812042333,1000251868950402686833516107
11402145,1607297510,2020-12-06T23:31:50.000Z,1000676713863136729790870177,1000691573613751257690623681,1000419836433760558824557039,1000520108672870400476390941,1000306760841225958214503738
11407905,1607374306,2020-12-07T20:51:46.000Z,1000926831054593815329753141,1000849461197594149266165040,1000798945901256862574544023,1000765231191178234801796388,1000370790132185252262711829
11413665,1607451413,2020-12-08T18:16:53.000Z,1001327224444255173725783355,1001032367322692877040143090,1000804923593266635440420649,1001108414983260600443415009,1000443438183556360977929944
11419425,1607526608,2020-12-09T15:10:08.000Z,1001511758903871285057309831,1001235184121034277257499894,1000806859146348307466795162,1001209382290327124336148047,1000480359407842445932163844
11425185,1607603289,2020-12-10T12:28:09.000Z,1001639389619210324587816474,1001467368087467424877166362,1000806966149089179493538994,1001301182807936675747430112,1000517718977484908461549239
11430945,1607681117,2020-12-11T10:05:17.000Z,1001786889662680202346689224,1001569752415332793278392973,1000818504934828492641840663,1001458733560535031739564614,1000565098830734509727131703
11436705,1607757800,2020-12-12T07:23:20.000Z,1001891734983846210059774661,1001654512435725821487414063,1000830906088596529604342798,1001566673143400552133786647,1000620714988706969128544668
11442465,1607834068,2020-12-13T04:34:28.000Z,1001964438190703431201905266,1001759599795649432253889168,1000840514973029167044278540,1001756382388304342056630703,1000676030158121878999402147
11448225,1607910858,2020-12-14T01:54:18.000Z,1002086704085467173836126701,1001898971846926301491214042,1000846910530261195855221771,1001888139968020918569917997,1000740412477355657263470334
11453985,1607986774,2020-12-14T22:59:34.000Z,1002254767203783475440767995,1002038175325231423293032133,1000853962157225243614111715,1002031727725158137781620102,1000791982204662555326118365
11459745,1608062904,2020-12-15T20:08:24.000Z,1002423208965158593761251739,1002289920488006633102629495,1000860834946030992527511461,1002307892016450797246411750,1000945064344386497946166167
11465505,1608139745,2020-12-16T17:29:05.000Z,1002664789073068526519686808,1002368901641485302160707793,1000867041883271706925252965,1002566431748263760871475555,1001169315337974592720794719
11471265,1608215864,2020-12-17T14:37:44.000Z,1002963919790933193291251285,1002674916562097478038121633,1000872138053904510559651320,1003003661854577559954304867,1001204637595866270477352258
11477025,1608292224,2020-12-18T11:50:24.000Z,1003242936518580876505560029,1002860971843669751448589328,1000878070364621675344234897,1003362781115620127243927121,1001247156994802960175190724
11482785,1608369556,2020-12-19T09:19:16.000Z,1003413746298057572230325347,1002987716372221119888753965,1000884440376607137029259436,1003506266307596519083469537,1001546453464720242373625287
11488545,1608444893,2020-12-20T06:14:53.000Z,1003599512079067314560982497,1003138986253928190747924313,1000889448516770873927303735,1003729993828468159803921914,1001702955543225386181939865
11494305,1608521900,2020-12-21T03:38:20.000Z,1003861119238741037719554729,1003306139108831256132275432,1000894420680146590714975948,1003990173480287052764245232,1002093548843609989655960469
11500065,1608597636,2020-12-22T00:40:36.000Z,1004024385120072476866830970,1003596739921364375937674970,1000899396139402840258085345,1004182210085356910523740823,1002622788206740076151942749
11505825,1608673803,2020-12-22T21:50:03.000Z,1004200531845601980192317480,1003867456533542473535510035,1000904585438750327881870393,1004277228236690247841990307,1002694211165105763376108019
11511585,1608749657,2020-12-23T18:54:17.000Z,1004377839342424014866636405,1004066729156428030350893499,1000908268622834361529243718,1004394009135997729526970119,1002849951972603652473344109
11517345,1608826785,2020-12-24T16:19:45.000Z,1004500835843508919856520006,1004254095558618611498396845,1000911599628666984956633793,1004655144844086636878550513,1002913429953877428078437588
11523105,1608903629,2020-12-25T13:40:29.000Z,1004676790838328062469274860,1004484956044573563122420504,1000914961658443767326858078,1005175793028935089687654613,1003122406147052376873881830
11528865,1608979557,2020-12-26T10:45:57.000Z,1004903845189548648273131194,1004680183559272646785404024,1000919294555769928313187239,1005442640469278244586841573,1003403127367618325772165188
11534625,1609056251,2020-12-27T08:04:11.000Z,1005096646658666727032816096,1004828837119435222351174007,1000926228261064939600261118,1005751415453842768333285906,1003600518805665140135820600
11540385,1609132084,2020-12-28T05:08:04.000Z,1005291324110250414667274846,1005028342373646305319210104,1000931684559889687756896012,1005984206029752060402361114,1003853559198741933166699635
11546145,1609207805,2020-12-29T02:10:05.000Z,1005494313483294169083022985,1005258614833344106713783736,1000936479238419309919014182,1006217585448782274556920650,1004161983866889971767048675
11551905,1609285362,2020-12-29T23:42:42.000Z,1005590488012557667697245680,1005351332638001663248001035,1000942788056680243269221250,1006402637251232893545170590,1004416081374957583404102802
11557665,1609361143,2020-12-30T20:45:43.000Z,1005868629982955997286204544,1005522044727463384392843787,1000945527639167254341695585,1006577181218059174925231188,1004566397711655985392580508
11563425,1609437587,2020-12-31T17:59:47.000Z,1006115432358565060186444225,1005655313641415808905432215,1000947765663808406737801497,1006683353031879794708942039,1004743510734611016785505515
11569185,1609514062,2021-01-01T15:14:22.000Z,1006312141604664125097890215,1005802033492495371753505113,1000950091920454382048443243,1006868092439946524804749295,1004919903288650545602386085
11574945,1609589987,2021-01-02T12:19:47.000Z,1006619152589929841642722719,1005917387686977923970398652,1000951361800080830438632277,1007188948227331089172951423,1005092196053846659047106604
11580705,1609666456,2021-01-03T09:34:16.000Z,1006900640168160361355908717,1006194468511659819562310744,1000952766067362025570969162,1007594415941581320437750584,1005261423410378707057029232
11586465,1609742917,2021-01-04T06:48:37.000Z,1007120537322820436170441677,1006470304451309675357324176,1000955021475245337296959683,1007873457429670233869685300,1005429853924116509432266936
11592225,1609819682,2021-01-05T04:08:02.000Z,1007316435634266085235894628,1006688840475017274109190637,1000956183375377210655528161,1008254922241654234653824101,1005737441696037705162603088
11597985,1609895331,2021-01-06T01:08:51.000Z,1007429577460319390680757386,1006850893276750885111731379,1000957861140487183597437412,1008409242109820578187732876,1005972426498294792979708097
11603745,1609971669,2021-01-06T22:21:09.000Z,1007684288652711481953724731,1007363385880588023301586574,1000959067388245416570659671,1008854452555466201990514869,1006490544795000767331151123
11609505,1610049044,2021-01-07T19:50:44.000Z,1007883582335539278824947857,1007594259599374917443536389,1000960737428428570839503514,1009089948998678560955962884,1006879333439692153195743350
11615265,1610124543,2021-01-08T16:49:03.000Z,1008133232919877028995612663,1007812091315740462987800154,1000964955979431529561833961,1009301743934092703053339020,1007156411329489767384657442
11621025,1610201500,2021-01-09T14:11:40.000Z,1008464533264381733111559956,1008084130525422681846109339,1000965994963040994788660098,1009573875885331425085887858,1007311971624633650736543098
11626785,1610277575,2021-01-10T11:19:35.000Z,1008647530849015203268201936,1008258254783158261492464332,1000967652097836921260442819,1009808426997325494374656816,1007594241493225809672482364
11632545,1610353944,2021-01-11T08:32:24.000Z,1008777237050335744605274769,1008402415101572989588892420,1000971413287049763112043118,1010083767557168954852584641,1007864449789147461047323077
11638305,1610430353,2021-01-12T05:45:53.000Z,1008886558396914862806817909,1008532350702922213700677138,1000972909468223361976920885,1010357012752869820982656592,1008308316306796575373856402
11644065,1610506285,2021-01-13T02:51:25.000Z,1009013391190998521209512235,1008695647039975890347463475,1000973787405162197340596753,1010583035061813403280819207,1008411380810180435572374970
11649825,1610581614,2021-01-13T23:46:54.000Z,1009182084656828424244587516,1008846862534582673292925911,1000974609466039381698910734,1010829251103380784820968631,1008703874924232149434518795
11655585,1610659225,2021-01-14T21:20:25.000Z,1009721646678652222762300118,1008999947667531544102485159,1000975729489912846549457007,1011128091213127358675093421,1008783564095183273650348981
