block,timestamp,time,cETH_rate,aWETH_rate
7710760,1557192331,2019-05-07T01:25:31.000Z,20000000000000000000000000,-
7716520,1557270230,2019-05-07T23:03:50.000Z,20000082085684255947647134,-
7722280,1557349123,2019-05-08T20:58:43.000Z,20001055678882750197207604,-
7728040,1557427474,2019-05-09T18:44:34.000Z,20001707548078878094251531,-
7733800,1557505340,2019-05-10T16:22:20.000Z,20001767617310286292171922,-
7739560,1557582624,2019-05-11T13:50:24.000Z,20001767617310286292171922,-
7745320,1557659515,2019-05-12T11:11:55.000Z,20002946958163001685128181,-
7751080,1557737639,2019-05-13T08:53:59.000Z,20002946958163001685128181,-
7756840,1557814760,2019-05-14T06:19:20.000Z,20004197175419025052367984,-
7762600,1557891962,2019-05-15T03:46:02.000Z,20004431951232435150277363,-
7768360,1557969224,2019-05-16T01:13:44.000Z,20004874873496755203803174,-
7774120,1558047363,2019-05-16T22:56:03.000Z,20004974279865210528814022,-
7779880,1558124911,2019-05-17T20:28:31.000Z,20005077453356910731019773,-
7785640,1558203057,2019-05-18T18:10:57.000Z,20005183486921993019541974,-
7791400,1558281043,2019-05-19T15:50:43.000Z,20005836840094223154259479,-
7797160,1558359291,2019-05-20T13:34:51.000Z,20005836840094223154259479,-
7802920,1558437439,2019-05-21T11:17:19.000Z,20006389041932243090083599,-
7808680,1558515432,2019-05-22T08:57:12.000Z,20006662160607704862976247,-
7814440,1558593477,2019-05-23T06:37:57.000Z,20006800213104293506576482,-
7820200,1558671709,2019-05-24T04:21:49.000Z,20007049839788735233987973,-
7825960,1558749194,2019-05-25T01:53:14.000Z,20007081281372776672634136,-
7831720,1558825599,2019-05-25T23:06:39.000Z,20007084167904401841362855,-
7837480,1558903367,2019-05-26T20:42:47.000Z,20007090081750860334502310,-
7843240,1558981206,2019-05-27T18:20:06.000Z,20007098724860719342286774,-
7849000,1559059616,2019-05-28T16:06:56.000Z,20007105857454548174551768,-
7854760,1559136267,2019-05-29T13:24:27.000Z,20007111160934961110241069,-
7860520,1559213853,2019-05-30T10:57:33.000Z,20007116873354784783466092,-
7866280,1559292049,2019-05-31T08:40:49.000Z,20007143536046304440261348,-
7872040,1559369537,2019-06-01T06:12:17.000Z,20007185068795463407003936,-
7877800,1559447090,2019-06-02T03:44:50.000Z,20007242158598376611869082,-
7883560,1559525351,2019-06-03T01:29:11.000Z,20007290468092422018523261,-
7889320,1559604085,2019-06-03T23:21:25.000Z,20007337695726304380184595,-
7895080,1559681945,2019-06-04T20:59:05.000Z,20007381227013066171521467,-
7900840,1559759777,2019-06-05T18:36:17.000Z,20007420065317074229990497,-
7906600,1559836445,2019-06-06T15:54:05.000Z,20007460349039652243354946,-
7912360,1559915180,2019-06-07T13:46:20.000Z,20007501708071448279625981,-
7918120,1559993310,2019-06-08T11:28:30.000Z,20007542170169937076794629,-
7923880,1560071386,2019-06-09T09:09:46.000Z,20007586179034650950545972,-
7929640,1560148627,2019-06-10T06:37:07.000Z,20007629290595449268374547,-
7935400,1560226698,2019-06-11T04:18:18.000Z,20007662986914777494544343,-
7941160,1560305144,2019-06-12T02:05:44.000Z,20007688467947783308171959,-
7946920,1560382496,2019-06-12T23:34:56.000Z,20007711966233891435662829,-
7952680,1560460236,2019-06-13T21:10:36.000Z,20007738078788956450768907,-
7958440,1560537999,2019-06-14T18:46:39.000Z,20007764325239278245022307,-
7964200,1560616073,2019-06-15T16:27:53.000Z,20007790833775545107505759,-
7969960,1560693865,2019-06-16T14:04:25.000Z,20007818176530501765765382,-
7975720,1560771868,2019-06-17T11:44:28.000Z,20007846928070649753215018,-
7981480,1560849867,2019-06-18T09:24:27.000Z,20007876558789207529781719,-
7987240,1560927366,2019-06-19T06:56:06.000Z,20007905366743462932983129,-
